time,temperature,humidity,microphone
2024-12-07 04:19:50.583047422+00:00,24,29,6.72
2024-12-07 04:20:10.698257666+00:00,24,29,7.32
2024-12-07 04:20:30.835829037+00:00,24.1,29,4.36
2024-12-07 04:20:50.943835231+00:00,24,29,7.04
2024-12-07 04:21:11.090398205+00:00,24.1,29,1.44
2024-12-07 04:21:31.198907052+00:00,24,29,2.36
2024-12-07 04:21:51.317039712+00:00,24.1,29,5.04
2024-12-07 04:22:11.435871545+00:00,24.1,29,3.56
2024-12-07 04:22:31.577611521+00:00,24,29,6.28
2024-12-07 04:22:51.674810577+00:00,24,29,5.2
2024-12-07 04:23:11.802316605+00:00,24,29,3.56
2024-12-07 04:23:31.908245206+00:00,24,29,3.12
2024-12-07 04:23:52.034620384+00:00,24,29,25.6
2024-12-07 04:24:12.122550348+00:00,24,29,3.64
2024-12-07 04:24:32.230545595+00:00,24,29,1.08
2024-12-07 04:24:52.320316950+00:00,24,29,8.96
2024-12-07 04:25:12.445092651+00:00,24,29,5.6
2024-12-07 04:25:32.541725783+00:00,24,29,3.76
2024-12-07 04:25:52.654759384+00:00,24,29,4.64
2024-12-07 04:26:12.753600753+00:00,24.1,29,1.88
2024-12-07 04:26:32.893800130+00:00,24,29,14.2
2024-12-07 04:26:52.989468991+00:00,24.1,29,17.92
2024-12-07 04:27:13.101837342+00:00,24.1,29,13.24
2024-12-07 04:27:33.208663625+00:00,24,29,8.8
2024-12-07 04:27:53.317694560+00:00,24.1,29,8.36
